               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099462,            0.028421,            0.021951,             0.72415,             0.23567,             0.30037,             0.10269,            0.066237,            0.020154,            0.017333,             0.07008,           0.0033245,           0.0033245
                   1,            0.066624,            0.024233,            0.015545,             0.24722,             0.58352,             0.31854,             0.11544,            0.060162,            0.015883,            0.014012,             0.03986,           0.0064381,           0.0064381
                   2,            0.063114,            0.022387,            0.011742,             0.36323,             0.60347,             0.40369,             0.17692,            0.061393,            0.014353,            0.007082,           0.0094204,           0.0093317,           0.0093317
                   3,            0.057551,            0.021289,           0.0079147,             0.79293,             0.76912,             0.82934,             0.42235,            0.042885,            0.013558,           0.0046469,             0.00901,             0.00901,             0.00901
                   4,            0.052182,            0.020364,           0.0054905,             0.79503,             0.81344,             0.83454,             0.43766,            0.041716,            0.012829,           0.0035397,             0.00901,             0.00901,             0.00901
                   5,            0.047446,            0.019713,           0.0053564,             0.89391,             0.84679,             0.89819,             0.50088,            0.037199,            0.012797,           0.0044077,             0.00868,             0.00868,             0.00868
                   6,             0.04494,            0.019372,           0.0043922,             0.90819,             0.84348,             0.90809,             0.50657,            0.038044,            0.012235,           0.0033172,             0.00835,             0.00835,             0.00835
                   7,            0.043453,            0.019324,           0.0044803,             0.89151,             0.85474,             0.90491,             0.51815,            0.036642,            0.011902,           0.0033259,             0.00802,             0.00802,             0.00802
                   8,            0.042751,            0.019133,           0.0042257,             0.92194,             0.86273,             0.91124,             0.52694,            0.034802,            0.011754,           0.0032628,             0.00769,             0.00769,             0.00769
                   9,            0.040988,            0.017965,           0.0037817,             0.92208,              0.8683,             0.91456,             0.53273,            0.034304,            0.011806,           0.0028333,             0.00736,             0.00736,             0.00736
                  10,            0.040211,            0.018412,           0.0041417,             0.90309,             0.88959,             0.92307,             0.54389,            0.032204,            0.011684,           0.0028126,             0.00703,             0.00703,             0.00703
                  11,            0.039659,            0.018704,           0.0039526,             0.92602,             0.86239,             0.92446,             0.53111,             0.03443,            0.011465,           0.0023361,              0.0067,              0.0067,              0.0067
                  12,            0.038659,            0.018018,           0.0029947,             0.91882,             0.89051,             0.93835,             0.58776,            0.030817,            0.011216,           0.0021739,             0.00637,             0.00637,             0.00637
                  13,            0.037106,            0.017403,           0.0033318,             0.91773,             0.88388,             0.93868,             0.58585,            0.030367,             0.01134,           0.0020845,             0.00604,             0.00604,             0.00604
                  14,            0.036739,            0.017624,           0.0027726,             0.91612,             0.89326,               0.932,               0.578,            0.030797,            0.011185,           0.0024573,             0.00571,             0.00571,             0.00571
                  15,            0.035898,            0.017845,            0.003011,             0.92444,              0.9006,             0.93626,             0.58229,            0.030071,            0.010959,           0.0023087,             0.00538,             0.00538,             0.00538
                  16,             0.03542,            0.017421,           0.0027399,             0.91391,             0.88005,             0.93271,             0.58353,            0.029668,            0.010983,            0.002144,             0.00505,             0.00505,             0.00505
                  17,            0.034303,            0.017134,           0.0028761,             0.91124,             0.89031,             0.93054,             0.58616,            0.029833,            0.010991,           0.0019846,             0.00472,             0.00472,             0.00472
                  18,            0.033155,            0.016672,            0.002542,             0.91616,             0.90013,              0.9346,             0.59658,             0.02868,             0.01085,           0.0020306,             0.00439,             0.00439,             0.00439
                  19,            0.032993,            0.016826,           0.0025367,             0.93705,             0.88289,             0.93749,             0.58922,             0.02845,            0.010698,           0.0019064,             0.00406,             0.00406,             0.00406
                  20,            0.032512,            0.016514,           0.0027912,             0.91619,              0.8998,              0.9367,              0.6055,            0.028247,              0.0107,           0.0021341,             0.00373,             0.00373,             0.00373
                  21,            0.032531,            0.016351,           0.0022922,             0.90283,             0.90795,             0.93769,             0.60579,            0.028044,            0.010681,           0.0018097,              0.0034,              0.0034,              0.0034
                  22,            0.031364,            0.015857,           0.0019414,             0.91756,             0.90903,             0.93937,             0.60087,            0.028964,            0.010814,           0.0015973,             0.00307,             0.00307,             0.00307
                  23,            0.031821,            0.015941,           0.0023617,             0.92278,             0.90694,             0.94116,             0.61127,            0.028139,            0.010678,           0.0016008,             0.00274,             0.00274,             0.00274
                  24,            0.030803,            0.015833,           0.0020715,             0.91885,             0.90553,             0.93824,             0.60953,            0.027501,            0.010718,           0.0015178,             0.00241,             0.00241,             0.00241
                  25,            0.030693,            0.016404,           0.0019901,             0.92127,             0.90109,             0.94397,             0.61785,            0.027358,            0.010505,           0.0015793,             0.00208,             0.00208,             0.00208
                  26,            0.030191,            0.015416,           0.0018634,             0.93388,             0.90108,             0.94037,             0.61716,            0.027143,            0.010417,            0.001672,             0.00175,             0.00175,             0.00175
                  27,             0.02968,            0.015653,           0.0017824,             0.91817,             0.90581,             0.94195,             0.61375,            0.027092,            0.010435,           0.0017197,             0.00142,             0.00142,             0.00142
                  28,            0.029674,            0.015394,           0.0016625,             0.93293,             0.90187,             0.94481,             0.62106,            0.026746,            0.010366,           0.0015533,             0.00109,             0.00109,             0.00109
                  29,            0.029295,            0.015344,           0.0017629,              0.9234,             0.91409,             0.94635,             0.61834,            0.026962,            0.010386,           0.0015913,             0.00076,             0.00076,             0.00076
