epoch,g_loss,d_loss,psnr_gan,psnr_bilinear,ssim_gan,ssim_bilinear
1,0.294126,0.431981,11.4060,19.4433,0.0799,0.5393
2,0.226518,0.294292,12.3394,19.4433,0.0965,0.5393
3,0.166420,0.275545,14.1140,19.4433,0.1549,0.5393
4,0.140037,0.270701,15.0930,19.4433,0.2093,0.5393
5,0.124163,0.257256,15.6766,19.4433,0.2478,0.5393
6,0.114728,0.271214,15.8395,19.4433,0.2728,0.5393
7,0.107410,0.240492,16.3479,19.4433,0.3250,0.5393
8,0.100816,0.232671,16.5156,19.4433,0.3536,0.5393
9,0.091752,0.262023,16.8320,19.4433,0.3717,0.5393
10,0.086065,0.273278,17.0530,19.4433,0.3920,0.5393
11,0.083450,0.294643,17.1545,19.4433,0.4169,0.5393
12,0.080308,0.265074,17.5344,19.4433,0.4509,0.5393
13,0.078355,0.268812,17.6610,19.4433,0.4720,0.5393
14,0.074359,0.271348,17.8313,19.4433,0.4853,0.5393
15,0.071848,0.286946,18.0271,19.4433,0.4893,0.5393
16,0.070471,0.341038,18.2022,19.4433,0.4873,0.5393
17,0.066609,0.302120,18.1764,19.4433,0.4885,0.5393
18,0.066964,0.332873,18.1924,19.4433,0.4966,0.5393
19,0.067961,0.313640,18.2560,19.4433,0.5062,0.5393
20,0.068579,0.327807,18.3452,19.4433,0.5115,0.5393
21,0.064532,0.284114,18.5180,19.4433,0.5193,0.5393
22,0.065254,0.290446,18.5182,19.4433,0.5216,0.5393
23,0.063440,0.279014,18.6341,19.4433,0.5235,0.5393
24,0.064101,0.245800,18.6435,19.4433,0.5251,0.5393
25,0.064901,0.238035,18.6772,19.4433,0.5286,0.5393
26,0.062877,0.233009,18.8882,19.4433,0.5389,0.5393
27,0.061060,0.233728,18.9103,19.4433,0.5458,0.5393
28,0.059010,0.278125,18.8949,19.4433,0.5480,0.5393
29,0.058989,0.286632,18.9574,19.4433,0.5482,0.5393
30,0.059035,0.275187,18.9429,19.4433,0.5472,0.5393
31,0.058679,0.261418,18.9543,19.4433,0.5476,0.5393
32,0.058977,0.241308,18.9711,19.4433,0.5496,0.5393
33,0.058838,0.236275,18.9688,19.4433,0.5513,0.5393
34,0.059501,0.237869,18.9695,19.4433,0.5520,0.5393
35,0.059664,0.233210,19.0159,19.4433,0.5555,0.5393
36,0.059107,0.230791,18.9352,19.4433,0.5535,0.5393
37,0.059468,0.240254,18.9579,19.4433,0.5539,0.5393
38,0.059877,0.231293,18.9739,19.4433,0.5562,0.5393
39,0.059075,0.226681,18.9788,19.4433,0.5562,0.5393
40,0.058729,0.227848,18.9893,19.4433,0.5567,0.5393
41,0.059104,0.230701,18.9999,19.4433,0.5578,0.5393
42,0.058505,0.224470,19.0225,19.4433,0.5588,0.5393
43,0.058928,0.225170,19.0211,19.4433,0.5601,0.5393
44,0.058051,0.225580,19.0167,19.4433,0.5593,0.5393
45,0.058676,0.225630,19.0407,19.4433,0.5604,0.5393
46,0.057960,0.224673,19.0319,19.4433,0.5610,0.5393
47,0.057976,0.225235,19.0372,19.4433,0.5604,0.5393
48,0.058114,0.221570,19.0373,19.4433,0.5601,0.5393
49,0.058236,0.223791,19.0359,19.4433,0.5604,0.5393
50,0.058847,0.223363,19.0442,19.4433,0.5613,0.5393
